HLranTar1 GCA_004026565.1
HLoreOre1 GCA_006410675.1
HLhydIne1 GCA_006459105.1
HLoviNivLyd1 GCA_903231385.1
HLneoMos1 GCA_006410615.1
HLodoVir1 GCA_002102435.1
HLhemHyl1 GCA_004026825.1
HLoviOri1 GCA_014523465.1
HLneoPyg1 GCA_006410875.1
HLnanGra1 GCA_006408635.1
HLproPrz1 GCA_006410515.1
HLrapCam1 GCA_006410735.1
HLeudTho1 GCA_006408755.1
HLantMar1 GCA_006408585.1
HLlitWal1 GCA_006410535.1
HLmadKir1 GCA_006408675.1
HLaxiPor1 GCA_003798545.1
HLtraJav1 GCA_004024965.2
HLtraKan1 GCA_006408655.1
HLoreAme1 GCA_009758055.1
HLsaiTat1 GCA_004024985.1
HLcapIbe1 GCA_006410555.1
HLchoDid2 GCF_015220235.1
HLchoDid1 GCA_004027855.1
HLmyrTri1 GCA_004026745.1
HLtamTet1 GCA_004025105.1
HLtolMat1 GCA_004025125.1
HLrhiSin1 GCA_001888835.1
HLhipArm1 GCA_001890085.1
HLptePse1 GCA_014363405.1
HLtadBra1 GCA_004025005.1
HLpteVam2 GCA_000151845.2
HLpteGig1 GCA_902729225.1
HLhipGal1 GCA_004027415.1
HLcynBra1 GCA_009793145.1
HLeonSpe1 GCA_003508835.1
HLrouLes1 GCA_015472975.1
HLmegLyr2 GCA_004026885.1
HLmacSob1 GCA_004027375.1
HLminSch1 GCA_004026525.1
HLminNat1 GCA_001595765.1
HLcraTho1 GCA_004027555.1
HLmorBla1 GCA_004026545.1
HLmacCal1 GCA_007922815.1
HLmicHir1 GCA_004026765.1
HLanoCau1 GCA_004027475.1
HLmurAurFea1 GCA_004026665.1
HLnocLep1 GCA_004026585.1
HLcarPer3 GCA_004027735.1
HLtonSau1 GCA_004024845.1
HLartJam1 GCA_004027435.1
HLartJam2 GCA_014825515.1
HLstuHon1 GCA_014824575.1
HLaeoCin1 GCA_011751065.1
HLantPal1 GCA_007922775.1
HLnycHum2 GCA_007922795.1
HLlasBor1 GCA_004026805.1
HLpipPip1 GCA_004026625.1
HLpipPip2 GCA_903992545.1
HLsciCar1 GCA_902686445.1
HLsciVul1 GCA_902686455.1
HLxerIna1 GCA_004024805.1
HLaplRuf1 GCA_004027875.1
HLmarFla1 GCA_003676075.2
HLmarMar1 GCF_001458135.1
HLmarVan1 GCA_005458795.1
HLmarHim1 GCA_005280165.1
HLspeDau1 GCA_002406435.1
HLmarMon1 GCA_901343595.1
HLmarMon2 GCA_014533835.1
HLuroPar1 GCA_003426925.1
HLcynGun1 GCA_011316645.1
HLgliGli1 GCA_004027185.1
HLpedCap1 GCA_007922755.1
HLgraMur1 GCA_004027655.1
HLlepTim1 GCA_009760805.1
HLlepAme1 GCA_004026855.1
